,titre,link,speech_type,prenom,nom,date,theme,fonct,unique_id
537,"Déclaration de M. Emmanuel Macron, Président de la République, sur la lutte contre les discours de haine diffusés sur Internet , à New York le 24 septembre 2019.",https://www.vie-publique.fr/discours/270771-emmanuel-macron-24092019-internet,Déclaration,Emmanuel,Macron,2019-09-24T12:00:00Z,SOCIÉTÉ,Président de la République,270771
538,"Déclaration de Mme Frédérique Vidal, ministre de l'enseignement supérieur, de la recherche et de l'innovation, sur les recherches sur les océans et l'environnement maritime, Paris le 24 septembre 2019.",https://www.vie-publique.fr/discours/273040-frederique-vidal-24092019-recherches-sur-les-oceans,Déclaration,Frédérique,Vidal,2019-09-24T12:00:00Z,INTERNATIONAL,"Ministre de l'enseignement supérieur, de la recherche et de l'innovation",273040
539,"Déclaration de de Mme Brune Poirson, secrétaire d'État auprès de la ministre de la Transition écologique et solidaire, sur les grandes orientations du projet de loi contre le gaspillage et pour l'économie circulaire, au Sénat le 24 septembre 2019.",https://www.vie-publique.fr/discours/271263-brune-poirson-24092019-projet-de-loi-anti-gaspillage-recyclage,Déclaration,Brune,Poirson,2019-09-24T12:00:00Z,SOCIÉTÉ,Secrétaire d'État auprès de la ministre de la Transition écologique et solidaire,271263
540,"Interview de M. Jean-Michel Blanquer, ministre de l'éducation nationale et de la jeunesse à BFM TV le 24 septembre 2019, sur le réchauffement climatique et la laïcité à l'école.",https://www.vie-publique.fr/discours/272980-jean-michel-blanquer-24092019-greta-thunberg-atteintes-laicite-ecole,Interview,Jean-Michel,Blanquer,2019-09-24T12:00:00Z,SOCIÉTÉ,Ministre de l'éducation nationale et de la jeunesse,272980
541,"Déclaration de Mmes Nicole Belloubet, garde des sceaux, ministre de la justice, et Frédérique Vidal, ministre de l'enseignement supérieur, de la recherche et de l'innovation, sur le projet de loi relatif à la bioéthique, à l'Assemblée nationale le 24 septembre 2019.",https://www.vie-publique.fr/discours/270696-nicole-belloubet-24092019-bioethique,Déclaration,Nicole,Belloubet,2019-09-24T12:00:00Z,SOCIÉTÉ,Ministre de la justice Frédérique Vidal,270696
542,"Interview de Mme Brune Poirson, secrétaire d'État auprès de la ministre de la Transition écologique et solidaire, à France Inter le 24 septembre 2019, sur la lutte contre le réchauffement climatique et le projet de loi anti-gaspillage.",https://www.vie-publique.fr/discours/271264-brune-poirson-24092019-climat-projet-de-loi-anti-gaspillage,Interview,Brune,Poirson,2019-09-24T12:00:00Z,SOCIÉTÉ,Secrétaire d'État auprès du ministre de la transition écologique et solidaire,271264
543,"Déclaration de M. Julien Denormandie, ministre chargé de la ville et du logement, sur le logement social et la politique du logement, à Paris le 24 septembre 2019.",https://www.vie-publique.fr/discours/270692-julien-denormandie-24092019-logement-social,Déclaration,Julien,Denormandie,2019-09-24T12:00:00Z,SOCIÉTÉ,Ministre chargé de la ville et du logement,270692
544,"Déclaration de Mme Agnès Buzyn, ministre des solidarités et de la santé, sur le projet de loi sur la bioéthique, notamment l'ouverture des droits à la PMA à toutes les femmes et aux femmes seules, Paris le 24 septembre 2019.",https://www.vie-publique.fr/discours/271891-agnes-buzyn-24092019-pma,Déclaration,Agnès,Buzyn,2019-09-24T12:00:00Z,SOCIÉTÉ,ministre des solidarités et de la santé,271891
545,"Déclaration de M.Emmanuel Macron , Président de la République, sur les défis et priorités en matière de relations internationales, à New York le 24 septembre 2019.",https://www.vie-publique.fr/discours/270706-emmanuel-macron-24092019-relations-internationales,Déclaration,Emmanuel,Macron,2019-09-24T12:00:00Z,INTERNATIONAL,Président de la République,270706
546,"Interview de Mme Agnès Buzyn, ministre des solidarités et de la santé à CNews le 24 septembre 2019, sur l'évaluation des médicaments et l'affaire Médiator, le climat et les urgences médicales.",https://www.vie-publique.fr/discours/271892-agnes-buzyn-24092019-medicaments,Interview,Agnès,Buzyn,2019-09-24T12:00:00Z,SOCIÉTÉ,ministre des solidarités et de la santé,271892
547,"Interview de M. Jean-Baptiste Djebbari, secrétaire d'État aux transports, à France 2 le 24 septembre 2019, sur la réforme des régimes de retraite à la RATP et la situation de la compagnie Aigle Azur.",https://www.vie-publique.fr/discours/271945-jean-baptiste-djebbari-24092019-regime-retraite-ratp-aigle-azur,Interview,Jean-Baptiste,Djebbari,2019-09-24T12:00:00Z,ECONOMIE,Secrétaire d'Etat aux transports,271945
548,"Interview de M. Jean-Paul Delevoye, haut-commissaire chargé des retraites, délégué auprès de la ministre des solidarités et de la santé à Europe 1 le 23 septembre 2019, sur la réforme des retraites et les équilibres entre les différents régimes",https://www.vie-publique.fr/discours/272735-jean-paul-delevoy-23092019-reforme-des-retraites,Interview,Jean-Paul,Delevoye,2019-09-23T12:00:00Z,SOCIÉTÉ,"Haut-commissaire chargé des retraites, délégué auprès de la ministre des solidarités et de la santé",272735
549,"Déclaration conjointe des chefs d'État et de gouvernement de France,d'Allemagne et du Royaume-Uni sur la préservation du régime global de non-prolifération et de la sécurité et la stabilité au Moyen-Orient, le 23 septembre 2019.",https://www.vie-publique.fr/discours/270673-presidence-de-la-republique-23092019-france-iran,Déclaration,Présidence,de la République,2019-09-23T12:00:00Z,INTERNATIONAL,,270673
550,"Interview de Mme Sibeth Ndiaye, secrétaire d'État, porte-parole du Gouvernement, à LCI le 23 septembre 2019, sur les mobilisations des Gilets jaunes et les abattements fiscaux pour les personnes âgées dépendantes.",https://www.vie-publique.fr/discours/272172-sibeth-ndiaye-23092019-gilets-jaunes-personnes-agees-dependantes,Interview,Sibeth,Ndiaye,2019-09-23T12:00:00Z,SOCIÉTÉ,"Secrétaire d'Etat, porte-parole du gouvernement",272172
551,"Déclaration de M. Emmanuel Macron, Président de la République, sur la question climatique, à New York le 23 septembre 2019.",https://www.vie-publique.fr/discours/270690-emmanuel-macron-23092019-climat,Déclaration,Emmanuel,Macron,2019-09-23T12:00:00Z,SOCIÉTÉ,Président de la République,270690
552,"Interview de M. Marc Fesneau, ministre chargé des relations avec le Parlement et vice-président du Mouvement Démocrate, accordé au site internet du MoDem le 23 septembre 2019, sur les grands chantiers de la session parlementaire.",https://www.vie-publique.fr/discours/272170-marc-fesneau-23092019-grands-chantiers-de-la-session-parlementaire,Interview,Marc,Fesneau,2019-09-23T12:00:00Z,INSTITUTIONS,Ministre chargé des relations avec le Parlement,272170
553,"Déclaration de M. Emmanuel Macron, Président de la République, sur la protection de la forêt amazonienne, à New York le 23 septembre 2019.",https://www.vie-publique.fr/discours/270689-emmanuel-macron-23092019-foret-amazonienne,Déclaration,Emmanuel,Macron,2019-09-23T12:00:00Z,SOCIÉTÉ,Président de la République,270689
554,"Interview de Mme Agnès Pannier-Runacher, secrétaire d'Etat auprès du ministre de l'économie et des finances, à CNews le 23 septembre 2019, sur l'impact des manifestations de ""Gilets jaunes"" sur le commerce.",https://www.vie-publique.fr/discours/270775-agnes-pannier-runacher-23092019-commerce,Interview,Agnès,Pannier-Runacher,2019-09-23T12:00:00Z,ECONOMIE,Secrétaire d'Etat auprès du ministre de l'économie et des finances,270775
555,"Déclaration de M. Emmanuel Macron, Président de la République, sur la préparation de la COP 25, à New York le 23 septembre 2019.",https://www.vie-publique.fr/discours/270691-emmanuel-macron-23092019-cop-25,Déclaration,Emmanuel,Macron,2019-09-23T12:00:00Z,SOCIÉTÉ,Président de la République,270691
556,"Déclaration de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, sur les priorités de la politique étrangère de la France, à New York le 22 septembre 2019.",https://www.vie-publique.fr/discours/270664-jean-yves-le-drian-22092019-politique-etrangere,Déclaration,Jean-Yves,Le Drian,2019-09-22T12:00:00Z,INTERNATIONAL,Ministre de l'Europe et des affaires étrangères,270664
557,"Interview de Mme Élisabeth Borne, ministre de la transition écologique et solidaire, à Europe 1 le 20 septembre 2019, sur la faillite d'Aigle Azur, la SNCF, les cours du pétrole et le budget pour 2020 de l'écologie.",https://www.vie-publique.fr/discours/272400-elisabeth-borne-20092019-sncf-cours-du-petrole-budget-ecologie-2020,Interview,Elisabeth,Borne,2019-09-20T12:00:00Z,SOCIÉTÉ,Ministre de la transition écologique et solidaire,272400
558,"Déclaration de M. Edouard Philippe, Premier ministre, sur l'annonce de mesures pour soutenir les petits commerces et la jeunesse dans des territoires ruraux, à Eppe-Sauvage le 20 septembre 2019.",https://www.vie-publique.fr/discours/270677-edouard-philippe-20092019-soutien-commerces-territoires-ruraux,Déclaration,Edouard,Philippe,2019-09-20T12:00:00Z,SOCIÉTÉ,Premier ministre,270677
559,"Déclaration de Mme Élisabeth Borne, ministre de la transition écologique et solidaire, sur les enjeux couverts par l'Agenda 2030 et les objectifs de développement durable, à Paris le 20 septembre 2019.",https://www.vie-publique.fr/discours/272403-elisabeth-borne-20092019-agenda-2030-et-odd,Déclaration,Elisabeth,Borne,2019-09-20T12:00:00Z,SOCIÉTÉ,Ministre de la transition écologique et solidaire,272403
560,"Interview de M. Jean-Baptiste Lemoyne, secrétaire d'Etat auprès du ministre de l'Europe et des affaires étrangères, à France 2 le 20 septembre 2019, sur l'accord CETA entre l'UE européenne et le Canada, la question climatique et les tensions dans le Golfe persique.",https://www.vie-publique.fr/discours/270639-jean-baptiste-lemoyne-20092019-politique-etrangere,Interview,Jean-Baptiste,Lemoyne,2019-09-20T12:00:00Z,INTERNATIONAL,Secrétaire d'Etat auprès du ministre de l'Europe et des affaires étrangères Jeff Wittenberg,270639
